Time,Temperature (°C),Humidity (%)
2025-04-21 01:31:22,30.80,91.00
2025-04-21 01:31:24,30.80,91.00
2025-04-21 01:31:26,30.80,91.00
2025-04-21 01:31:28,30.80,91.00
2025-04-21 01:31:30,30.80,91.00
2025-04-21 01:31:32,30.80,91.00
2025-04-21 01:31:34,30.80,91.00
2025-04-21 01:31:36,30.80,91.00
2025-04-21 01:31:38,30.80,91.00
2025-04-21 01:31:40,30.80,91.00
2025-04-21 01:31:42,30.80,91.00
2025-04-21 01:31:44,30.80,91.00
2025-04-21 01:31:46,30.80,91.00
2025-04-21 01:31:48,30.80,91.00
2025-04-21 01:31:50,30.80,91.00
2025-04-21 01:31:52,30.80,91.00
2025-04-21 01:31:54,30.80,91.00
2025-04-21 01:31:56,30.80,91.00
2025-04-21 01:31:58,30.80,91.00
2025-04-21 01:32:00,30.80,91.00
2025-04-21 01:32:02,30.80,91.00
2025-04-21 01:32:04,30.80,91.00
2025-04-21 01:32:06,30.80,91.00
2025-04-21 01:32:08,30.80,91.00
2025-04-21 01:32:10,30.80,91.00
2025-04-21 01:32:12,30.80,91.00
2025-04-21 01:32:14,30.80,91.00
2025-04-21 01:32:16,30.80,91.00
2025-04-21 01:32:18,30.80,91.00
2025-04-21 01:32:20,30.80,91.00
2025-04-21 01:32:22,30.80,91.00
2025-04-21 01:32:25,30.80,91.00
2025-04-21 01:32:27,30.80,91.00
2025-04-21 01:32:29,30.80,91.00
2025-04-21 01:32:31,30.80,91.00
2025-04-21 01:32:33,30.80,91.00
2025-04-21 01:32:35,30.80,91.00
2025-04-21 01:32:37,30.80,91.00
2025-04-21 01:32:39,30.80,91.00
2025-04-21 01:32:41,30.80,91.00
2025-04-21 01:32:43,30.80,91.00
2025-04-21 01:32:45,30.80,91.00
2025-04-21 01:32:47,30.80,91.00
2025-04-21 01:32:49,30.80,91.00
2025-04-21 01:32:51,30.80,91.00
2025-04-21 01:32:53,30.80,91.00
2025-04-21 01:32:55,30.80,91.00
2025-04-21 01:32:57,30.80,91.00
2025-04-21 01:32:59,30.80,91.00
2025-04-21 01:33:01,30.80,91.00
2025-04-21 01:33:03,30.80,91.00
2025-04-21 01:33:05,30.80,91.00
2025-04-21 01:33:07,30.80,91.00
2025-04-21 01:33:09,30.80,91.00
2025-04-21 01:33:11,30.80,91.00
2025-04-21 01:33:13,30.80,91.00
2025-04-21 01:33:15,30.80,91.00
2025-04-21 01:33:17,30.80,91.00
2025-04-21 01:33:19,30.80,91.00
2025-04-21 01:33:21,30.80,91.00
2025-04-21 01:33:23,30.80,91.00
2025-04-21 01:33:25,30.80,91.00
2025-04-21 01:33:27,30.80,91.00
2025-04-21 01:33:29,30.80,91.00
2025-04-21 01:33:31,30.80,91.00
2025-04-21 01:33:33,30.80,91.00
2025-04-21 01:33:35,30.80,91.00
2025-04-21 01:33:37,30.80,91.00
2025-04-21 01:33:39,30.80,91.00
2025-04-21 01:33:41,30.80,91.00
2025-04-21 01:33:43,30.80,91.00
2025-04-21 01:33:46,30.80,91.00
2025-04-21 01:33:48,30.80,91.00
2025-04-21 01:33:50,30.80,91.00
2025-04-21 01:33:52,30.80,91.00
2025-04-21 01:33:54,30.80,91.00
2025-04-21 01:33:56,30.80,91.00
2025-04-21 01:33:58,30.80,91.00
2025-04-21 01:34:00,30.80,91.00
2025-04-21 01:34:02,30.80,91.00
2025-04-21 01:34:04,30.80,91.00
2025-04-21 01:34:06,30.80,91.00
2025-04-21 01:34:08,30.80,91.00
2025-04-21 01:34:10,30.80,91.00
2025-04-21 01:34:12,30.80,91.00
2025-04-21 01:34:14,30.80,91.00
2025-04-21 01:34:16,30.80,91.00
2025-04-21 01:34:18,30.80,91.00
2025-04-21 01:34:20,30.80,91.00
2025-04-21 01:34:22,30.80,91.00
2025-04-21 01:34:24,30.80,91.00
2025-04-21 01:34:26,30.80,91.00
2025-04-21 01:34:28,30.80,91.00
2025-04-21 01:34:30,30.80,91.00
2025-04-21 01:34:32,30.80,91.00
2025-04-21 01:34:34,30.80,91.00
2025-04-21 01:34:36,30.80,91.00
2025-04-21 01:34:38,30.80,91.00
2025-04-21 01:34:40,30.80,91.00
2025-04-21 01:34:42,30.80,91.00
2025-04-21 01:34:44,30.80,91.00
2025-04-21 01:34:46,30.80,91.00
2025-04-21 01:34:48,30.80,91.00
2025-04-21 01:34:50,30.80,91.00
2025-04-21 01:34:52,30.80,91.00
2025-04-21 01:34:54,30.80,91.00
2025-04-21 01:34:56,30.80,91.00
2025-04-21 01:34:58,30.80,91.00
2025-04-21 01:35:00,30.80,91.00
2025-04-21 01:35:02,30.80,91.00
2025-04-21 01:35:04,30.80,91.00
2025-04-21 01:35:07,30.80,91.00
2025-04-21 01:35:09,30.80,91.00
2025-04-21 01:35:11,30.80,91.00
2025-04-21 01:35:13,30.80,91.00
2025-04-21 01:35:15,30.80,91.00
2025-04-21 01:35:17,30.80,91.00
2025-04-21 01:35:19,30.80,91.00
2025-04-21 01:35:21,30.80,91.00
